Exit,TOP-1 Acc,TOP-5 Acc,Loss
Exit_1,17.87420382165605,42.6453025477707,4.5659487687858045
Exit_2,19.048566878980893,45.20302547770701,4.562977244140236
Exit_3,24.810907643312103,53.91122611464968,4.525038406347773
Exit_4,26.224124203821656,56.78742038216561,4.515269103323578
Exit_5,27.21934713375796,58.55891719745223,4.511805898824315
Exit_6,27.70700636942675,59.00676751592356,4.508522115695249
Exit_7,31.926751592356688,63.89331210191083,4.477719067008632
Exit_8,37.69904458598726,68.89928343949045,4.439085270948471
Exit_9,42.09792993630573,74.25358280254777,4.402173464465293
Exit_10,44.04856687898089,75.66679936305732,4.391868160029126
Exit_11,67.25716560509554,91.58041401273886,4.104215840625155
Exit_12,72.11385350318471,93.859474522293,4.038990780046791
Exit_13,77.0203025477707,95.421974522293,3.9774453715913616
Exit_14,78.61265923566879,96.09872611464968,3.9532972961474377
Exit_15,79.796974522293,96.36743630573248,3.935796901678583
Exit_16,80.66281847133757,96.73566878980891,3.923218227495813
Exit_17,86.53463375796179,97.67117834394904,3.810344401438525
Exit_18,87.64928343949045,97.9796974522293,0.5327019010000168
