Temp: 1,Exit :0,0: bin0(<0.2),Samples: 1930,accuracy: 0.161,avg_conf: 0.146
Temp: 1,Exit :0,1: bin1(<0.4),Samples: 3918,accuracy: 0.349,avg_conf: 0.3
Temp: 1,Exit :0,2: bin2(<0.6),Samples: 4245,accuracy: 0.594,avg_conf: 0.501
Temp: 1,Exit :0,3: bin3(<0.8),Samples: 6239,accuracy: 0.856,avg_conf: 0.716
Temp: 1,Exit :0,4: bin4(<1.0),Samples: 33652,accuracy: 0.991,avg_conf: 0.903

Temp: 1.0,Exit :0,0: bin0(<0.2),Samples: 1916,accuracy: 0.154,avg_conf: 0.145
Temp: 1.0,Exit :0,1: bin1(<0.4),Samples: 3983,accuracy: 0.339,avg_conf: 0.301
Temp: 1.0,Exit :0,2: bin2(<0.6),Samples: 4155,accuracy: 0.59,avg_conf: 0.499
Temp: 1.0,Exit :0,3: bin3(<0.8),Samples: 6192,accuracy: 0.858,avg_conf: 0.716
Temp: 1.0,Exit :0,4: bin4(<1.0),Samples: 33738,accuracy: 0.992,avg_conf: 0.903

Temp: 2.0,Exit :0,0: bin0(<0.2),Samples: 17326,accuracy: 0.618,avg_conf: 0.131
Temp: 2.0,Exit :0,1: bin1(<0.4),Samples: 30994,accuracy: 0.985,avg_conf: 0.263
Temp: 2.0,Exit :0,2: bin2(<0.6),Samples: 1574,accuracy: 0.999,avg_conf: 0.459
Temp: 2.0,Exit :0,3: bin3(<0.8),Samples: 89,accuracy: 1.0,avg_conf: 0.65
Temp: 2.0,Exit :0,4: bin4(<1.0),Samples: 1,accuracy: 1.0,avg_conf: 0.81

Temp: 3.0,Exit :0,0: bin0(<0.2),Samples: 49751,accuracy: 0.856,avg_conf: 0.088
Temp: 3.0,Exit :0,1: bin1(<0.4),Samples: 232,accuracy: 1.0,avg_conf: 0.234
Temp: 3.0,Exit :0,2: bin2(<0.6),Samples: 1,accuracy: 1.0,avg_conf: 0.462
Temp: 3.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 3.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 4.0,Exit :0,0: bin0(<0.2),Samples: 49982,accuracy: 0.858,avg_conf: 0.052
Temp: 4.0,Exit :0,1: bin1(<0.4),Samples: 2,accuracy: 1.0,avg_conf: 0.217
Temp: 4.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 4.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 4.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 5.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.859,avg_conf: 0.038
Temp: 5.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 5.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 5.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 5.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 6.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.857,avg_conf: 0.03
Temp: 6.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 6.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 6.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 6.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 7.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.858,avg_conf: 0.026
Temp: 7.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 7.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 7.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 7.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 8.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.858,avg_conf: 0.023
Temp: 8.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 8.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 8.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 8.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 9.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.859,avg_conf: 0.021
Temp: 9.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 9.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 9.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 9.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

