Sample_path,Entropy,Correct
0,0.4845,True
1,0.5244,True
2,0.9241,True
3,0.4493,True
4,0.4794,True
5,0.566,True
6,0.5309,True
7,0.534,True
8,0.509,True
9,0.5747,True
10,0.5026,True
11,0.488,True
12,0.5165,True
13,0.6145,True
14,0.4216,True
15,0.4921,True
16,0.6207,True
17,0.7888,False
18,0.4351,True
19,0.8597,True
20,0.5056,True
21,0.8854,True
22,0.5205,True
23,0.5048,True
24,0.4699,True
25,0.9054,True
26,0.4726,True
27,0.5283,True
28,0.4685,True
29,0.6491,True
30,0.5736,True
31,0.7846,True
32,0.5007,True
33,0.5694,True
34,0.5291,True
35,0.6784,True
36,0.5231,True
37,0.4964,True
38,0.7986,True
39,0.6861,True
40,0.4895,True
41,0.4647,True
42,0.4827,True
43,0.5269,True
44,0.5275,True
45,0.5156,True
46,0.5844,True
47,0.5872,True
48,0.6903,True
49,0.4387,True
50,0.4716,True
51,0.5117,True
52,0.4835,True
53,0.8814,True
54,0.4901,True
55,0.4781,True
56,0.9907,False
57,0.4317,True
58,0.4731,True
59,0.543,True
60,0.8595,True
61,0.5602,True
62,0.5241,True
63,0.5086,True
64,0.4956,True
65,0.3662,True
66,0.4561,True
67,0.8941,False
68,0.4881,True
69,0.5605,True
70,0.5722,True
71,0.5324,True
72,0.5631,True
73,0.4497,True
74,0.4586,True
75,0.5094,True
76,0.5126,True
77,0.7336,True
78,0.5576,True
79,0.4751,True
80,0.6071,True
81,0.9327,True
82,0.5115,True
83,0.8995,True
84,0.4684,True
85,0.5334,True
86,0.4979,True
87,0.369,True
88,0.5219,True
89,0.4266,True
90,1.0521,True
91,0.4936,True
92,0.6556,True
93,0.6171,True
94,0.5687,True
95,0.5313,True
96,0.5614,True
97,0.462,True
98,0.5153,True
99,0.4874,True
100,0.5784,True
101,0.5357,True
102,0.4063,True
103,0.5024,True
104,0.5049,True
105,0.4877,True
106,0.6369,True
107,0.6946,True
108,0.5882,True
109,0.5375,True
110,1.1646,True
111,0.5319,True
112,0.4388,True
113,0.5203,True
114,0.5386,True
115,0.4963,True
116,1.0702,True
117,0.7176,True
118,0.5202,True
119,0.4688,True
120,0.5253,True
121,0.4117,True
122,0.6716,True
123,0.4706,True
