Exit,TOP-1,TOP-5,Loss
Exit_1,7.87221337579618,26.4231687898089,4.5994705212344
Exit_2,8.75796178343949,27.7667197452229,4.60075908102048
Exit_3,11.8730095541401,33.6186305732484,4.59022450295224
Exit_4,11.8332006369427,33.6484872611465,4.59416870858259
Exit_5,12.3706210191083,34.9422770700637,4.59728907020229
Exit_6,21.1385350318471,47.6612261146497,4.56182048578931
Exit_7,23.3379777070064,51.9108280254777,4.5565716840659
Exit_8,23.5569267515924,52.000398089172,4.56497845680091
Exit_9,33.5887738853503,62.7786624203822,4.47618440761688
Exit_10,39.5800159235669,69.2874203821656,4.42486905747918
Exit_11,45.3025477707006,74.9502388535032,4.37888372020357
Exit_12,67.8642515923567,91.3415605095542,4.07412691177077
Exit_13,71.5565286624204,93.1329617834395,4.02113540612968
Exit_14,75.796178343949,95.093550955414,3.96347487048738
Exit_15,84.2058121019108,96.9446656050955,3.82027258235178
Exit_16,86.1066878980892,97.671178343949,0.571833821428809
