Temp: 1,Exit :0,0: bin0(<0.2),Samples: 1939,accuracy: 0.162,avg_conf: 0.142
Temp: 1,Exit :0,1: bin1(<0.4),Samples: 3744,accuracy: 0.365,avg_conf: 0.301
Temp: 1,Exit :0,2: bin2(<0.6),Samples: 4243,accuracy: 0.61,avg_conf: 0.502
Temp: 1,Exit :0,3: bin3(<0.8),Samples: 6275,accuracy: 0.86,avg_conf: 0.717
Temp: 1,Exit :0,4: bin4(<1.0),Samples: 33783,accuracy: 0.992,avg_conf: 0.904

Temp: 1.0,Exit :0,0: bin0(<0.2),Samples: 1989,accuracy: 0.166,avg_conf: 0.144
Temp: 1.0,Exit :0,1: bin1(<0.4),Samples: 3772,accuracy: 0.353,avg_conf: 0.302
Temp: 1.0,Exit :0,2: bin2(<0.6),Samples: 4177,accuracy: 0.611,avg_conf: 0.5
Temp: 1.0,Exit :0,3: bin3(<0.8),Samples: 6230,accuracy: 0.868,avg_conf: 0.717
Temp: 1.0,Exit :0,4: bin4(<1.0),Samples: 33816,accuracy: 0.991,avg_conf: 0.903

Temp: 2.0,Exit :0,0: bin0(<0.2),Samples: 17268,accuracy: 0.632,avg_conf: 0.131
Temp: 2.0,Exit :0,1: bin1(<0.4),Samples: 30888,accuracy: 0.986,avg_conf: 0.265
Temp: 2.0,Exit :0,2: bin2(<0.6),Samples: 1726,accuracy: 0.996,avg_conf: 0.458
Temp: 2.0,Exit :0,3: bin3(<0.8),Samples: 97,accuracy: 1.0,avg_conf: 0.652
Temp: 2.0,Exit :0,4: bin4(<1.0),Samples: 5,accuracy: 1.0,avg_conf: 0.84

Temp: 3.0,Exit :0,0: bin0(<0.2),Samples: 49737,accuracy: 0.865,avg_conf: 0.089
Temp: 3.0,Exit :0,1: bin1(<0.4),Samples: 246,accuracy: 1.0,avg_conf: 0.229
Temp: 3.0,Exit :0,2: bin2(<0.6),Samples: 1,accuracy: 1.0,avg_conf: 0.458
Temp: 3.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 3.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 4.0,Exit :0,0: bin0(<0.2),Samples: 49980,accuracy: 0.865,avg_conf: 0.053
Temp: 4.0,Exit :0,1: bin1(<0.4),Samples: 4,accuracy: 1.0,avg_conf: 0.205
Temp: 4.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 4.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 4.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 5.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.866,avg_conf: 0.038
Temp: 5.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 5.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 5.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 5.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 6.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.864,avg_conf: 0.03
Temp: 6.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 6.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 6.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 6.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 7.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.867,avg_conf: 0.026
Temp: 7.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 7.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 7.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 7.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 8.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.864,avg_conf: 0.023
Temp: 8.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 8.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 8.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 8.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

Temp: 9.0,Exit :0,0: bin0(<0.2),Samples: 49984,accuracy: 0.866,avg_conf: 0.021
Temp: 9.0,Exit :0,1: bin1(<0.4),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 9.0,Exit :0,2: bin2(<0.6),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 9.0,Exit :0,3: bin3(<0.8),Samples: 0,accuracy: 0.0,avg_conf: 0.0
Temp: 9.0,Exit :0,4: bin4(<1.0),Samples: 0,accuracy: 0.0,avg_conf: 0.0

